parametr,wartosc
algorytm,hooke_jeeves
piezo_min_v,80.000
piezo_max_v,150.000
prog_amplitudy_v,0.450000
pozycja_startowa_p1_deg,80.000
pozycja_startowa_p2_deg,80.000
prog_osiagniety,False
czas_calkowity_s,262.740
liczba_pomiarow_fizycznych,20
liczba_unikalnych_punktow_mpc,20
stopien_przeszukania_pct,24.691
maksymalna_amplituda_v,0.420108
score_dla_maksimum,0.097679
p1_dla_maksimum_deg,130.040
p2_dla_maksimum_deg,49.960
