time_s,in0_v,in1_v
93.651941,1.126331,3.066748
93.851971,1.174050,3.019970
94.056011,1.239785,2.944686
94.251993,1.303101,2.873550
94.452037,1.350186,2.793906
94.652006,1.400882,2.756449
94.851996,1.427676,2.726411
95.056004,1.436903,2.719587
95.252060,1.412884,2.736193
95.452071,1.387140,2.768330
95.652052,1.337161,2.812356
95.852047,1.280818,2.868093
96.056065,1.225081,2.940184
101.550382,1.055882,3.127336
101.751397,1.049809,3.117002
101.952349,1.072682,3.116961
102.154342,1.123187,3.046194
102.350346,1.197415,2.995806
102.549358,1.276907,2.896845
102.749407,1.344675,2.817672
102.950377,1.409172,2.755389
103.150388,1.445405,2.709009
103.350389,1.463081,2.702121
103.550415,1.449268,2.704883
103.750389,1.410616,2.739942
103.950407,1.366048,2.802364
104.150442,1.316422,2.870474
104.350439,1.253055,2.946014
104.550438,1.172782,3.013306
104.750453,1.125248,3.068805
104.949453,1.080272,3.113594
110.464767,1.142179,3.051551
110.665721,1.191972,2.995621
110.867717,1.248640,2.912836
111.068713,1.314623,2.858776
111.264739,1.369187,2.790482
111.464784,1.416839,2.747888
111.664766,1.428268,2.724536
111.864756,1.415813,2.743892
112.064772,1.377192,2.767489
112.264795,1.352074,2.818535
112.464830,1.303164,2.876004
112.664799,1.243673,2.944425
112.864798,1.182899,2.995836
113.064808,1.147211,3.055806
113.264816,1.106027,3.092236
113.464852,1.089394,3.107779
113.664847,1.088848,3.112765
113.864878,1.095861,3.083235
119.382200,1.334871,2.826035
119.583159,1.389212,2.777053
119.785146,1.410899,2.760731
119.981165,1.415353,2.748527
120.181157,1.401530,2.767100
120.381195,1.376998,2.812031
120.585205,1.311090,2.864494
120.781213,1.258253,2.920686
120.981241,1.191689,2.983253
121.182197,1.148495,3.041738
121.382224,1.114346,3.084534
121.585232,1.096691,3.097182
121.781217,1.092855,3.088208
121.981199,1.112435,3.077375
122.182169,1.155030,3.048891
122.382213,1.189654,3.004905
122.585183,1.237346,2.946215
122.782191,1.300000,2.892621
128.306679,1.434552,2.719898
128.508581,1.444540,2.715261
128.709629,1.423146,2.754448
