time_s,in0_v,in1_v
42.488416,0.526499,0.808596
42.687956,0.526154,0.807922
42.888472,0.527161,0.811152
43.087960,0.526023,0.810388
43.288473,0.526903,0.809931
43.487998,0.525386,0.810072
43.688532,0.526763,0.809926
43.888060,0.525499,0.810600
44.088594,0.525779,0.809168
44.288126,0.524600,0.809377
44.488624,0.526258,0.810247
44.688139,0.524975,0.810381
44.887714,0.524009,0.810467
45.088253,0.525025,0.810014
45.287787,0.523983,0.810348
45.488324,0.524811,0.810494
45.687855,0.523556,0.810241
45.888404,0.524748,0.810304
46.087931,0.523526,0.810866
46.288466,0.524276,0.810314
46.488005,0.523220,0.809979
46.688532,0.523476,0.809611
46.888072,0.522913,0.809485
47.088593,0.523597,0.810843
47.288076,0.523235,0.810707
47.488567,0.523664,0.811034
47.688044,0.522510,0.810721
47.888532,0.523565,0.810940
48.088059,0.522315,0.809893
48.288571,0.523048,0.810330
48.488105,0.522417,0.810177
48.688632,0.523111,0.810936
48.888209,0.522589,0.810432
49.087742,0.521150,0.808593
49.288280,0.522164,0.810185
49.487816,0.521633,0.809009
49.688350,0.522263,0.809767
49.887885,0.521345,0.808863
50.088418,0.522086,0.809969
50.287952,0.521155,0.808534
50.488486,0.521417,0.808799
50.688016,0.520177,0.807388
50.888531,0.521784,0.809279
51.088005,0.520549,0.808287
51.288502,0.521511,0.809204
51.488005,0.520073,0.807607
51.688512,0.520955,0.808736
51.888035,0.520014,0.807343
52.088576,0.521277,0.809159
52.288112,0.520012,0.807316
52.488655,0.520779,0.808113
52.688189,0.519781,0.806780
52.887775,0.518382,0.805751
53.088327,0.518697,0.805587
53.287879,0.518329,0.804447
53.488397,0.519564,0.806848
53.687887,0.518295,0.806076
53.888428,0.519368,0.805973
54.087935,0.517945,0.806210
54.288438,0.519207,0.806543
54.487957,0.517955,0.805732
54.688499,0.518853,0.806025
54.888021,0.518234,0.806198
55.088564,0.518979,0.806350
55.288094,0.516993,0.804203
55.488622,0.518743,0.805182
55.688105,0.517755,0.806521
55.888578,0.519018,0.806303
56.088072,0.517590,0.805008
56.288560,0.518261,0.806069
56.488077,0.517358,0.804926
56.688605,0.518403,0.805660
56.888146,0.517519,0.804634
57.087672,0.516735,0.804240
57.288201,0.517280,0.804933
57.487724,0.516239,0.802917
57.688213,0.517291,0.804615
57.887697,0.516779,0.804295
58.088189,0.517047,0.804720
58.287686,0.516750,0.804223
58.488197,0.517440,0.804198
58.687683,0.516901,0.804221
58.888237,0.517037,0.804642
59.087776,0.516907,0.803403
59.288327,0.516401,0.802899
59.487887,0.516580,0.801527
59.688399,0.516905,0.804012
59.887884,0.516914,0.803560
60.088394,0.516913,0.803946
60.287921,0.516530,0.803202
60.488439,0.516850,0.803558
60.687979,0.516911,0.802908
60.889081,0.517210,0.803520
61.088666,0.517093,0.803419
61.288201,0.516762,0.802926
61.487801,0.516673,0.804034
61.688355,0.516916,0.804023
61.887909,0.516883,0.801921
62.088453,0.516751,0.803111
62.287968,0.516266,0.801524
62.488486,0.515755,0.802194
62.687974,0.516235,0.802049
62.888533,0.516551,0.802902
63.087994,0.516281,0.801239
63.288503,0.516494,0.802151
63.487998,0.515600,0.801558
63.688137,0.517349,0.801460
63.887700,0.516952,0.800112
64.088166,0.516945,0.801640
64.287703,0.516800,0.800016
64.488254,0.516611,0.800251
64.687774,0.516733,0.799878
64.888356,0.516386,0.800548
65.088139,0.516312,0.799631
65.287669,0.516323,0.797993
65.488196,0.515978,0.799938
65.687691,0.516005,0.798627
65.888159,0.516517,0.800366
66.087688,0.516356,0.799002
66.288196,0.516408,0.800190
66.487731,0.516654,0.799134
66.688235,0.516652,0.799762
66.887759,0.517075,0.799046
67.088317,0.516885,0.798692
67.287844,0.516409,0.798255
67.488409,0.516400,0.798241
67.687962,0.516857,0.797981
67.888492,0.517217,0.798431
68.087981,0.517306,0.797589
68.288522,0.517100,0.800558
68.488018,0.517155,0.798377
68.688765,0.517477,0.794470
68.888511,0.517231,0.796541
69.088076,0.517078,0.797672
69.288623,0.516927,0.798475
69.488382,0.517265,0.797606
69.687921,0.517511,0.797578
69.888464,0.517657,0.798075
70.087990,0.517584,0.797917
70.288505,0.516563,0.797105
70.488030,0.517455,0.796494
70.688550,0.516216,0.797895
70.888041,0.516742,0.798132
71.088563,0.517292,0.798284
71.288047,0.516927,0.798571
71.488149,0.516719,0.797824
71.687642,0.517259,0.797863
71.888219,0.516513,0.799377
72.087758,0.517167,0.798233
72.288356,0.517602,0.799285
72.487876,0.517722,0.798962
72.688430,0.517044,0.800547
72.888098,0.517372,0.798257
73.088625,0.517346,0.799050
73.288164,0.516584,0.797340
73.487716,0.517886,0.798488
