orientation,line_id,window_id,time_in_window_s,piezo_direction,p1_deg,p2_deg,in0_v,in1_v,diff_v
vertical,1,1,2.9600050766021013e-07,up,0.9561752988047808,0.9561752988047808,1.3454040192744714,2.814051535825269,-1.4686475165507977
vertical,1,1,0.25594897600058175,up,0.9561752988047808,1.6733067729083664,1.3577166531969405,2.8209229874522066,-1.4632063342552661
vertical,1,1,0.5176032440012932,up,0.9561752988047808,2.9880478087649402,1.3790770999058508,2.810169808943835,-1.4310927090379844
vertical,1,1,0.7734958260007261,up,0.9561752988047808,4.302788844621514,1.3502779539442984,2.8124754749296583,-1.46219752098536
vertical,1,1,1.0295036690004054,up,0.9561752988047808,5.617529880478087,1.3333385327520495,2.8493057553886,-1.5159672226365504
vertical,1,1,1.3015300719998777,up,0.9561752988047808,6.9322709163346605,1.2855212117012222,2.8817006493367723,-1.59617943763555
vertical,1,1,1.5735333040011028,up,0.9561752988047808,8.247011952191235,1.2626458989748013,2.9284302927220383,-1.665784393747237
vertical,1,1,1.8457889830006025,up,0.9561752988047808,9.681274900398407,1.2088860157918586,2.998881488106624,-1.7899954723147653
vertical,1,1,2.1178059930007294,up,0.9561752988047808,10.99601593625498,1.159542119670446,3.0301209879248034,-1.8705788682543574
vertical,1,1,2.3895727960007207,up,0.9561752988047808,12.310756972111554,1.121444479153233,3.0721009024754635,-1.9506564233222305
vertical,1,1,2.6618366740003694,up,0.9561752988047808,13.745019920318724,1.1124320333415791,3.0981823676722975,-1.9857503343307183
vertical,1,1,2.9175929320008436,up,0.9561752988047808,15.059760956175298,1.107436640238127,3.1095940587621156,-2.0021574185239883
vertical,1,1,3.189617473999533,up,0.9561752988047808,16.37450199203187,1.1115681478341892,3.079728671852373,-1.9681605240181839
vertical,1,1,3.461621809999997,up,0.9561752988047808,17.689243027888445,1.142607986062117,3.053851005646331,-1.9112430195842138
vertical,1,2,3.7000063457526267e-07,down,0.9561752988047808,18.52589641434263,1.1496138787593757,3.0542952302164843,-1.9046813514571086
vertical,1,2,0.2595259560002887,down,0.9561752988047808,19.243027888446214,1.127307450458085,3.0855832542691304,-1.9582758038110455
vertical,1,2,0.5330517860002146,down,0.9561752988047808,20.677290836653384,1.085956658276709,3.123053500020436,-2.0370968417437267
vertical,1,2,0.8048193560007348,down,0.9561752988047808,21.99203187250996,1.089930462692832,3.115764196550364,-2.025833733857532
vertical,1,2,1.0610903880005935,down,0.9561752988047808,23.306772908366533,1.1168699926309613,3.0760500105452024,-1.9591800179142411
vertical,1,2,1.3170916760009277,down,0.9561752988047808,24.621513944223107,1.1819897900251624,3.019772343346743,-1.8377825533215808
vertical,1,2,1.5731035200005863,down,0.9561752988047808,25.816733067729082,1.2397227558492323,2.9336181808885273,-1.693895425039295
vertical,1,2,1.8291229540009226,down,0.9561752988047808,27.131474103585656,1.3096943503756515,2.856231477510292,-1.5465371271346404
vertical,1,2,2.0851369600004546,down,0.9561752988047808,28.44621513944223,1.3933574554479482,2.7662667202606177,-1.3729092648126695
vertical,1,2,2.3608930430000328,down,0.9561752988047808,29.7609561752988,1.4466209530116156,2.724965891207087,-1.2783449381954712
vertical,1,2,2.6332824640012404,down,0.9561752988047808,31.195219123505975,1.4578773530469635,2.7395989758612584,-1.281721622814295
vertical,1,2,2.901047078001284,down,0.9561752988047808,32.50996015936255,1.3973020093502952,2.8078115022777634,-1.4105094929274682
vertical,1,2,3.1569341530012025,down,0.9561752988047808,33.82470119521912,1.2774055457103093,2.9331786827804422,-1.655773137070133
vertical,1,2,3.412949193001623,down,0.9561752988047808,35.0199203187251,1.1559731472078585,3.061880531283971,-1.9059073840761125
vertical,1,3,3.7099925975780934e-07,up,0.9561752988047808,35.73705179282868,1.0984997805666643,3.097086969342589,-1.9985871887759246
vertical,1,3,0.2541544449995854,up,0.9561752988047808,36.45418326693227,1.149310481804102,3.035375393477909,-1.886064911673807
vertical,1,3,0.5204384469998331,up,0.9561752988047808,37.76892430278884,1.2509697285718144,2.9314320105740017,-1.6804622820021873
vertical,1,3,0.792437226000402,up,0.9561752988047808,39.20318725099602,1.324738308938564,2.8625222937495085,-1.5377839848109445
vertical,1,3,1.0602010580005299,up,0.9561752988047808,40.51792828685259,1.391771606352074,2.77763397795038,-1.385862371598306
vertical,1,3,1.3204701480008225,up,0.9561752988047808,41.83266932270916,1.4487601474154554,2.730661005587625,-1.2819008581721696
vertical,1,3,1.5922280680006224,up,0.9561752988047808,43.147410358565736,1.4570596215580867,2.7141547215702735,-1.2570951000121868
vertical,1,3,1.8602470450005058,up,0.9561752988047808,44.46215139442231,1.4282662032303708,2.737013093539054,-1.3087468903086832
vertical,1,3,2.120506690000184,up,0.9561752988047808,45.776892430278885,1.3931988465568046,2.8008739430461422,-1.4076750964893376
vertical,1,3,2.3922739940007887,up,0.9561752988047808,47.091633466135455,1.285975231456559,2.894429984918996,-1.608454753462437
vertical,1,3,2.664529728999696,up,0.9561752988047808,48.525896414342625,1.2120763520766404,2.9982955069273225,-1.786219154850682
vertical,1,3,2.9365562589991896,up,0.9561752988047808,49.8406374501992,1.1453107516957963,3.0639889617748506,-1.9186782100790543
vertical,1,3,3.208558656000605,up,0.9561752988047808,51.27490039840637,1.1085230629465184,3.0987904910458206,-1.9902674280993022
vertical,1,3,3.476337345000502,up,0.9561752988047808,52.589641434262944,1.0713714668859595,3.1481177071799142,-2.0767462402939545
vertical,1,4,2.4099972506519407e-07,down,0.9561752988047808,53.30677290836653,1.0622453764370854,3.1411903226474256,-2.07894494621034
