parametr,wartosc
algorytm,coarse_to_fine_grid
piezo_min_v,80.000
piezo_max_v,150.000
prog_amplitudy_v,0.400000
pozycja_startowa_p1_deg,80.000
pozycja_startowa_p2_deg,80.000
prog_osiagniety,True
czas_calkowity_s,22.617
liczba_pomiarow_fizycznych,2
liczba_unikalnych_punktow_mpc,1
stopien_przeszukania_pct,1.235
maksymalna_amplituda_v,0.417938
score_dla_maksimum,0.097633
p1_dla_maksimum_deg,54.024
p2_dla_maksimum_deg,54.024
