time_s,in0_v,in1_v
92.930410,1.238062,3.015269
93.130390,1.326993,2.939917
93.330404,1.391812,2.849305
93.530393,1.433672,2.786998
93.730403,1.485304,2.755858
93.930438,1.501456,2.740849
94.130425,1.485444,2.757151
94.330437,1.445952,2.807303
94.530429,1.394108,2.861717
94.730449,1.337959,2.928870
94.930476,1.252779,2.985250
95.130466,1.203126,3.060314
95.330565,1.151220,3.125277
100.846680,1.099628,3.186971
101.048717,1.141197,3.127837
101.249725,1.214166,3.030243
101.445742,1.294345,2.954199
101.645756,1.369019,2.862294
101.845781,1.439381,2.788272
102.045784,1.500374,2.736512
102.245740,1.515175,2.724830
102.445742,1.502702,2.738677
102.645763,1.458038,2.776541
102.845795,1.401550,2.842051
103.045773,1.334829,2.921644
103.245784,1.257376,3.003019
103.445832,1.196885,3.070463
103.645824,1.134269,3.130449
103.845845,1.090426,3.188139
104.045857,1.065462,3.187679
104.245836,1.070483,3.198013
109.757025,1.266222,2.971706
109.959020,1.323059,2.902935
110.159995,1.389309,2.839185
110.356033,1.432461,2.782469
110.556000,1.458828,2.750301
110.756021,1.465745,2.751477
110.961086,1.439319,2.780575
111.157092,1.390978,2.833022
111.357139,1.329241,2.897785
111.557118,1.260820,2.975168
111.757134,1.205505,3.039440
111.960114,1.145763,3.094927
112.157142,1.106464,3.131635
112.357194,1.091122,3.146019
112.557168,1.093798,3.144646
112.757190,1.117786,3.117121
112.960202,1.153870,3.079260
113.157171,1.202452,3.045586
118.682462,1.439376,2.787190
118.883432,1.454111,2.760656
119.085430,1.463526,2.765565
119.281422,1.438185,2.783062
119.481421,1.386365,2.829391
119.681424,1.336789,2.897452
119.881466,1.281209,2.972548
120.081445,1.216683,3.040309
120.282447,1.156050,3.102723
120.481462,1.116386,3.137243
120.682466,1.101205,3.153619
120.886905,1.106813,3.108994
121.082418,1.132123,3.120861
121.282412,1.172824,3.076143
121.481431,1.231976,3.029420
121.682420,1.285084,2.961885
121.886482,1.336686,2.898915
122.082449,1.388661,2.845282
127.580801,1.502715,2.731818
127.781806,1.492129,2.735664
127.982761,1.465942,2.772664
128.184774,1.412941,2.846832
128.380772,1.327522,2.928761
128.580783,1.243766,3.010221
128.785856,1.170064,3.074731
128.979806,1.113229,3.141079
129.179799,1.080839,3.184266
129.379807,1.070971,3.200760
129.579811,1.095044,3.173814
129.780862,1.128593,3.136468
129.979839,1.190108,3.076643
130.179838,1.258330,3.006748
130.379837,1.320428,2.925245
130.579877,1.391335,2.854961
130.780894,1.441971,2.799852
130.979874,1.498732,2.762103
136.479165,1.480173,2.757952
136.681123,1.440394,2.811861
136.882144,1.361367,2.891451
137.078122,1.290137,2.987213
137.278131,1.187724,3.078661
137.479125,1.118442,3.159364
137.684141,1.077811,3.193285
137.879154,1.063575,3.221322
138.079158,1.078868,3.209032
138.278162,1.118407,3.165047
138.479166,1.182182,3.068677
138.684179,1.257353,3.003445
138.879210,1.337946,2.914380
139.079191,1.417484,2.830812
139.278201,1.456722,2.773174
139.479234,1.503236,2.732461
139.684228,1.533431,2.720697
139.879258,1.509284,2.714960
145.409519,1.366147,2.857898
145.610472,1.319834,2.927659
145.812566,1.257902,3.001853
146.013523,1.193740,3.062830
146.209478,1.132456,3.120756
146.409490,1.098814,3.143622
146.609504,1.106416,3.147745
146.809546,1.125661,3.129391
147.009506,1.178824,3.081312
147.209545,1.234385,3.024233
147.409516,1.298241,2.947527
147.609534,1.358647,2.878841
147.809583,1.415165,2.822938
148.009613,1.445717,2.784206
148.209555,1.468352,2.755695
148.409664,1.467423,2.753345
148.609618,1.465927,2.775740
148.809627,1.430024,2.809359
154.303887,1.288269,2.962797
154.504836,1.268360,2.999749
154.705860,1.238524,3.020816
154.907865,1.216325,3.043421
155.103860,1.212585,3.060391
155.302860,1.213964,3.050764
155.502859,1.230710,3.023442
155.703896,1.256048,3.006493
155.903893,1.275330,2.971528
156.103884,1.310221,2.937314
156.303900,1.335900,2.912547
156.503905,1.349294,2.889357
156.703921,1.355970,2.869579
156.903929,1.368503,2.869763
157.103924,1.365002,2.876414
157.303944,1.356279,2.887604
157.503967,1.331979,2.903466
157.702955,1.307344,2.928512
163.218228,1.353331,2.897162
163.419191,1.332676,2.906895
163.620193,1.315241,2.931590
163.822212,1.288644,2.959156
164.018210,1.276232,2.978019
164.217222,1.245117,3.005732
164.417218,1.226505,3.017188
164.618230,1.224568,3.025597
164.817286,1.225402,3.025247
165.017267,1.241860,3.031151
165.218264,1.246711,2.998642
165.418259,1.271474,2.980987
165.618272,1.297081,2.968608
165.818308,1.317504,2.938079
166.018296,1.323247,2.903805
166.218299,1.347603,2.899374
166.418314,1.344715,2.892499
166.618314,1.350295,2.889004
172.134583,1.408801,2.807506
172.335566,1.378396,2.844800
172.537607,1.336020,2.892859
172.738571,1.279005,2.965129
172.934587,1.212980,3.024288
173.130578,1.167034,3.071234
173.333595,1.141388,3.105657
173.531599,1.128429,3.118978
173.731599,1.141782,3.104063
173.936622,1.160591,3.062567
174.130609,1.205572,3.028727
174.333613,1.255417,2.975780
174.530644,1.306151,2.915835
174.730633,1.351751,2.857099
174.936661,1.389770,2.826686
175.130629,1.421320,2.799004
175.333632,1.429847,2.780639
175.530648,1.432775,2.785406
181.044929,1.468174,2.740996
181.245905,1.442613,2.787034
181.447895,1.363118,2.866414
181.643888,1.277451,2.944425
181.843911,1.196432,3.023407
182.043909,1.136903,3.099302
182.247924,1.088370,3.150386
182.444912,1.067437,3.168798
182.644920,1.083776,3.164994
182.844949,1.120061,3.129277
183.044945,1.163060,3.070332
183.247969,1.229263,2.985543
183.444961,1.302876,2.921500
183.644963,1.374379,2.841692
183.844995,1.435305,2.784579
184.044992,1.466034,2.739593
184.248005,1.496511,2.724820
184.444994,1.486234,2.722505
189.959279,1.497002,2.733653
190.161242,1.474623,2.740482
190.362241,1.441348,2.781406
190.558249,1.373296,2.845297
190.758294,1.302750,2.930598
190.958267,1.229584,3.013124
191.162290,1.156514,3.094310
191.359277,1.094082,3.127497
191.559285,1.079676,3.165927
191.759317,1.075305,3.165775
191.959301,1.103277,3.143433
192.162300,1.153361,3.089514
192.359314,1.205605,3.030303
192.559364,1.263220,2.948381
192.759389,1.333110,2.880075
192.959362,1.397540,2.824201
193.162368,1.451181,2.771145
193.359376,1.483051,2.735724
198.889646,1.427672,2.784340
199.090596,1.439683,2.769163
199.291593,1.429173,2.779777
199.493623,1.396885,2.805145
199.689610,1.362921,2.857636
199.888665,1.300108,2.916216
200.088622,1.238614,2.986887
200.288699,1.190388,3.029719
200.488647,1.153114,3.083550
200.688697,1.113889,3.096574
200.888659,1.116279,3.116335
201.088668,1.130240,3.104039
201.293674,1.163290,3.074056
201.489683,1.197316,3.026514
201.689725,1.242899,2.975821
201.889719,1.285656,2.907655
202.089703,1.338880,2.873159
202.293709,1.386090,2.828975
207.803024,1.296230,2.925212
208.003996,1.328299,2.868960
208.206005,1.391040,2.829443
208.401981,1.415667,2.802061
208.602994,1.416469,2.791391
208.803022,1.407881,2.801966
209.003003,1.384853,2.834767
209.203024,1.330761,2.882218
209.403013,1.283130,2.933894
209.603029,1.240361,2.983019
209.803057,1.186066,3.028982
210.003048,1.151496,3.059538
210.203050,1.137836,3.086649
210.403061,1.133123,3.079927
210.603068,1.144451,3.074452
210.803104,1.164270,3.032314
211.003092,1.201037,2.998602
211.203094,1.234139,2.955123
216.712380,1.128024,3.102755
216.913366,1.161626,3.062249
217.115348,1.226370,3.003322
217.311337,1.296919,2.922789
217.512331,1.360389,2.850998
217.712368,1.416958,2.801017
217.912372,1.455550,2.762581
218.112376,1.469277,2.745685
218.312400,1.451364,2.748634
218.512367,1.419661,2.796115
218.712383,1.375271,2.846378
218.912401,1.314654,2.916407
219.112390,1.252590,2.980757
219.312394,1.185179,3.051843
219.512395,1.149399,3.104341
219.711431,1.114425,3.131968
219.911437,1.105787,3.160006
220.112421,1.102261,3.151709
225.611710,1.068082,3.172532
225.812694,1.087206,3.148068
226.013681,1.123004,3.106101
226.215671,1.174560,3.047742
226.411671,1.257765,2.965141
226.610677,1.344964,2.879459
226.810719,1.418079,2.806721
227.011711,1.457689,2.757872
227.211700,1.488125,2.730002
227.411709,1.482543,2.729877
227.611719,1.450593,2.755997
227.811747,1.412033,2.813773
228.011749,1.347643,2.877415
228.211747,1.276316,2.947004
228.411754,1.214200,3.010941
228.611760,1.154651,3.078118
228.811784,1.107698,3.126761
229.011788,1.082706,3.159923
234.528053,1.124183,3.113876
234.730041,1.114402,3.123040
234.931052,1.126792,3.124473
235.124022,1.148838,3.067101
235.329031,1.207759,3.018487
235.525033,1.264708,2.952884
235.727049,1.322696,2.896688
235.925072,1.380460,2.840476
236.125064,1.411275,2.804106
236.331071,1.414215,2.784248
236.525073,1.430718,2.795828
236.727080,1.412261,2.812925
236.925103,1.386444,2.850426
237.125104,1.331524,2.896445
237.330109,1.280745,2.947849
237.524109,1.228006,3.004976
237.727118,1.179886,3.045055
237.924181,1.151613,3.081560
243.420415,1.095578,3.126734
243.621403,1.104909,3.133248
243.822409,1.120037,3.099291
244.027394,1.167461,3.057150
244.220435,1.224429,2.989161
244.421401,1.286523,2.929332
244.621405,1.354709,2.858723
