time_s,in0_v,in1_v
3.227474,3.911077,1.024257
3.429455,1.272557,2.942028
3.630440,1.197885,3.009436
3.826425,1.165502,3.054117
4.028427,1.157337,3.055117
4.229438,1.204004,3.019194
4.431494,1.253956,2.942271
4.627493,1.318052,2.871208
4.829519,1.365684,2.825215
5.030596,1.374085,2.817720
5.226599,1.344811,2.844092
5.426644,1.282296,2.905742
5.626611,1.228426,2.974583
5.826649,1.169440,3.029055
6.026676,1.159659,3.050824
6.226669,1.172572,3.037552
6.426722,1.208229,2.986345
6.631696,1.248205,2.930393
6.826717,1.315608,2.878995
7.026718,1.361923,2.848111
17.149531,1.447587,2.760009
17.350535,1.436273,2.750530
17.552537,1.371626,2.821330
17.748552,1.266181,2.915535
17.950539,1.188639,3.022171
18.149546,1.113075,3.111870
18.349583,1.099762,3.112710
18.552589,1.148210,3.066754
18.748616,1.239959,2.963905
18.948590,1.332379,2.864916
19.148599,1.413339,2.778654
19.348648,1.448938,2.752917
19.552653,1.416376,2.783999
19.748713,1.344695,2.868486
19.948704,1.255002,2.958257
20.148717,1.152799,3.036556
20.348802,1.108704,3.098746
20.552750,1.098107,3.115981
20.748758,1.119552,3.072728
20.948819,1.176422,3.009328
31.056562,1.434464,2.753585
31.258561,1.462921,2.716477
31.459572,1.434322,2.735229
31.661589,1.348223,2.826412
31.857574,1.233679,2.951795
32.056580,1.132252,3.068318
32.256565,1.069228,3.140647
32.456601,1.068296,3.132249
32.656605,1.139490,3.060250
32.856661,1.252964,2.937853
33.056626,1.367283,2.817831
33.256628,1.439561,2.741683
33.456672,1.459571,2.717850
33.656678,1.422661,2.774004
33.856690,1.324419,2.868394
34.056693,1.212961,2.995665
34.256697,1.121245,3.075932
34.456737,1.072857,3.131241
34.656777,1.059200,3.125786
34.856781,1.100519,3.108955
44.976558,1.323786,2.900382
45.177545,1.407386,2.789231
45.379558,1.444745,2.720211
45.580569,1.452595,2.733734
45.776551,1.388376,2.822845
45.976585,1.277491,2.924603
46.176575,1.149794,3.065304
46.376593,1.076868,3.145485
46.576584,1.069508,3.150809
46.776637,1.129428,3.073966
46.976627,1.230256,2.971791
47.176645,1.346660,2.836986
47.376660,1.443035,2.760629
47.576682,1.472943,2.723464
47.776701,1.450641,2.749405
47.976730,1.362202,2.831382
48.176716,1.266744,2.925388
48.376775,1.154938,3.034270
48.576761,1.092944,3.113127
48.776779,1.064936,3.135071
58.888563,1.204316,3.008930
59.090500,1.287139,2.899632
59.291508,1.401714,2.807925
59.487530,1.451128,2.732033
59.689561,1.449454,2.725370
59.885557,1.382227,2.806051
60.086556,1.275553,2.921458
60.284605,1.164320,3.038077
60.484621,1.079521,3.111080
60.690608,1.070701,3.138562
60.884636,1.123569,3.079438
61.086625,1.215864,2.966751
61.285637,1.314965,2.851145
61.485658,1.405132,2.756515
61.689660,1.444397,2.712441
61.885679,1.427385,2.736680
62.086719,1.359349,2.800205
62.285702,1.293303,2.898496
62.485743,1.187991,2.985490
62.689755,1.118511,3.066750
72.809521,1.077105,3.129377
73.010532,1.148527,3.053888
73.212547,1.256217,2.934594
73.413572,1.375660,2.804828
73.609547,1.462961,2.723243
73.809566,1.485500,2.708779
74.009548,1.421875,2.779121
74.208556,1.307866,2.899867
74.408605,1.175861,3.023010
74.611599,1.090675,3.119672
74.808599,1.057769,3.144256
75.008614,1.100510,3.093704
75.208618,1.183745,2.998691
75.408667,1.303172,2.875979
75.611650,1.396777,2.769871
75.808648,1.448713,2.711082
76.008688,1.469710,2.700570
76.209689,1.417051,2.746401
76.409738,1.337304,2.834631
76.611718,1.241025,2.935724
86.713484,1.060723,3.130550
86.914475,1.042184,3.160049
87.116466,1.084895,3.113321
87.312479,1.195035,3.001807
87.512491,1.322153,2.866433
87.712480,1.424505,2.744341
87.915527,1.493374,2.699036
88.112559,1.445536,2.730702
88.312538,1.352497,2.840129
88.512569,1.240009,2.983687
88.712566,1.122485,3.093729
88.915611,1.052126,3.157920
89.112588,1.065938,3.148584
