orientation,line_id,window_id,time_in_window_s,piezo_direction,p1_deg,p2_deg,in0_v,in1_v,diff_v
horizontal,6,2,1.0685584109996853,down,137.68924302788844,100.99601593625498,1.1427054326714507,3.0528436755076256,-1.9101382428361748
horizontal,6,2,1.3361911909996707,down,136.37450199203187,100.99601593625498,1.099228114401562,3.104941129267654,-2.005713014866092
horizontal,6,2,1.6083410850005748,down,134.9402390438247,100.99601593625498,1.0809984575402916,3.107234098998473,-2.0262356414581815
horizontal,6,2,1.8803446059991984,down,133.62549800796813,100.99601593625498,1.1021625674805429,3.1008000639736655,-1.9986374964931226
horizontal,6,2,2.1523626590005733,down,132.31075697211153,100.99601593625498,1.1442167992443857,3.032822787311311,-1.8886059880669255
horizontal,6,2,2.4241259480004373,down,130.87649402390437,100.99601593625498,1.2111601122706943,2.9430789397764388,-1.7319188275057444
horizontal,6,2,2.696262817000388,down,129.5617529880478,100.99601593625498,1.3011527998843941,2.853161812691559,-1.5520090128071649
horizontal,6,2,2.9682810340000287,down,128.12749003984064,100.99601593625498,1.3725622447079804,2.7943895304549438,-1.4218272857469634
horizontal,6,2,3.240168430000267,down,126.81274900398405,100.99601593625498,1.4060755010722557,2.7574218007537636,-1.351346299681508
horizontal,6,2,3.5121839580006053,down,125.49800796812748,100.99601593625498,1.395674588342977,2.783625220313494,-1.3879506319705168
horizontal,6,3,3.7000063457526267e-07,up,125.49800796812748,100.99601593625498,1.3832063327465236,2.7929732938264373,-1.4097669610799137
horizontal,6,3,0.25385586800075544,up,124.7808764940239,100.99601593625498,1.401163049229031,2.768254795935124,-1.3670917467060928
horizontal,6,3,0.5196348110002873,up,123.46613545816733,100.99601593625498,1.408724515423516,2.768573613263934,-1.3598490978404179
horizontal,6,3,0.791642498001238,up,122.03187250996015,100.99601593625498,1.3763233140932039,2.8149929096992095,-1.4386695956060056
horizontal,6,3,1.0636657790000754,up,120.71713147410358,100.99601593625498,1.3293071469894178,2.8802630481683944,-1.5509559011789766
horizontal,6,3,1.335679596000773,up,119.40239043824701,100.99601593625498,1.2516062409857318,2.943455920528367,-1.6918496795426352
horizontal,6,3,1.6079432990009082,up,117.96812749003983,100.99601593625498,1.1947997199347242,3.0001431787387203,-1.805343458803996
horizontal,6,3,1.8797048290016392,up,116.65338645418326,100.99601593625498,1.139498663199832,3.0502129779431097,-1.9107143147432777
horizontal,6,3,2.1515886200013483,up,115.33864541832669,100.99601593625498,1.1169962124512514,3.0592735242374585,-1.942277311786207
horizontal,6,3,2.4236178360006306,up,113.90438247011951,100.99601593625498,1.122858746034493,3.05248868561,-1.9296299395755072
horizontal,6,3,2.695747901001596,up,112.58964143426294,100.99601593625498,1.1602603323572596,3.028315418878717,-1.8680550865214576
horizontal,6,3,2.9680078760011384,up,111.15537848605577,100.99601593625498,1.197946423756865,2.9723643199411987,-1.7744178961843335
horizontal,6,3,3.2400212730008207,up,109.8406374501992,100.99601593625498,1.2508799211359023,2.937421213340676,-1.6865412922047736
