orientation,line_id,window_id,fixed_angle_deg,moving_paddle,move_direction,piezo_direction,p1_start_deg,p1_end_deg,p1_mean_deg,p1_min_deg,p1_max_deg,p2_start_deg,p2_end_deg,p2_mean_deg,p2_min_deg,p2_max_deg,commanded_speed_deg_s,actual_span_deg,actual_speed_deg_s,samples,diff_amplitude_v,score,in0_amplitude_v,in1_amplitude_v,mean_sum_v
horizontal,1,1,1.0,1,positive,up,0.9561752988047808,18.04780876494024,9.245873648264086,0.9561752988047808,18.04780876494024,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,5.0,17.09163346613546,4.883323847467274,14,0.21477658428008506,0.04959730149824279,0.09906475634736234,0.11999177257297178,4.193569318614566
horizontal,1,2,1.0,1,positive,down,18.04780876494024,35.0199203187251,26.28628343767786,18.04780876494024,35.0199203187251,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,5.0,16.97211155378486,4.849174729652817,14,0.17405784330286922,0.04133402500188199,0.08617127195986507,0.088878075109738,4.199848459893767
horizontal,1,3,1.0,1,positive,up,35.61752988047809,51.992031872509955,43.54012521343198,35.61752988047809,51.992031872509955,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,5.0,16.374501992031867,4.678429140580533,14,0.1862683109060248,0.04307303245954139,0.08627206399630394,0.09888121630013047,4.192784237632095
horizontal,1,4,1.0,1,positive,down,52.70916334661354,68.96414342629481,60.640295959021046,52.70916334661354,68.96414342629481,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,5.0,16.254980079681268,4.644280022766076,14,0.25057683221557037,0.05872991750095849,0.1192398241810686,0.1309870118885239,4.184956254024771
horizontal,1,5,1.0,1,positive,up,69.800796812749,86.77290836653385,78.02219692657938,69.800796812749,86.77290836653385,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,5.0,16.972111553784856,4.849174729652816,14,0.26971440460519613,0.06382912119635445,0.1327293385438293,0.13752847095603515,4.199551100902316
horizontal,1,6,1.0,1,positive,down,86.77290836653385,103.74501992031873,94.94308480364256,86.77290836653385,103.74501992031873,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,5.0,16.97211155378487,4.8491747296528205,14,0.2575126478367078,0.06070478631388132,0.1248687625047139,0.1372540427894584,4.198303124992983
horizontal,1,7,1.0,1,positive,up,104.4621513944223,121.55378486055776,112.75184974388162,104.4621513944223,121.55378486055776,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,5.0,17.09163346613545,4.883323847467271,14,0.20629584635901055,0.048479925200964474,0.09976163220115086,0.1065342141578598,4.1964300756392605
horizontal,1,8,1.0,1,positive,down,121.55378486055776,138.28685258964143,129.75811041548096,121.55378486055776,138.28685258964143,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,5.0,16.733067729083672,4.780876494023906,14,0.10899232938373105,0.02605223082059721,0.056469248459427246,0.055431372861113104,4.194458839441065
horizontal,1,9,1.0,1,positive,up,139.003984063745,155.73705179282868,147.1570859419465,139.003984063745,155.73705179282868,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,5.0,16.733067729083672,4.780876494023906,14,0.10560025966521358,0.02512651351238973,0.051875910338422204,0.058327438569780066,4.19054348632652
horizontal,2,1,21.0,1,negative,up,160.0398406374502,143.06772908366534,151.82697780307345,143.06772908366534,160.0398406374502,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,5.0,16.972111553784856,4.849174729652816,14,0.26338139136246463,0.06174354901744325,0.12546063866487733,0.13925766759284652,4.176466482740379
