orientation,line_id,window_id,fixed_angle_deg,moving_paddle,move_direction,piezo_direction,p1_start_deg,p1_end_deg,p1_mean_deg,p1_min_deg,p1_max_deg,p2_start_deg,p2_end_deg,p2_mean_deg,p2_min_deg,p2_max_deg,commanded_speed_deg_s,actual_span_deg,actual_speed_deg_s,samples,diff_amplitude_v,score,in0_amplitude_v,in1_amplitude_v,mean_sum_v
vertical,1,1,1.0,2,positive,up,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,0.9561752988047808,17.689243027888445,9.040978941377347,0.9561752988047808,17.689243027888445,5.0,16.733067729083665,4.780876494023905,14,0.2700909884972921,0.06277321467700325,0.1275353446847458,0.1452539838595568,4.188386769919969
vertical,1,2,1.0,2,positive,down,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,18.52589641434263,35.0199203187251,26.57655093910074,18.52589641434263,35.0199203187251,5.0,16.49402390438247,4.712578258394991,14,0.3746180192099967,0.08821554196444936,0.18101053093839925,0.19191902826629526,4.194835164275808
vertical,1,3,1.0,2,positive,up,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,35.73705179282868,52.589641434262944,43.87307911212294,35.73705179282868,52.589641434262944,5.0,16.852589641434264,4.815025611838361,14,0.3763620069955297,0.08852311509392347,0.18133004629347937,0.19558560525560065,4.189729117909985
vertical,1,4,1.0,2,positive,down,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,53.30677290836653,70.2788844621514,61.528173022196924,53.30677290836653,70.2788844621514,5.0,16.972111553784863,4.849174729652818,14,0.38735188154380396,0.0910789067073044,0.18694896183998733,0.20040291970381663,4.198734281444333
vertical,1,5,1.0,2,positive,up,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,70.2788844621514,87.25099601593625,78.50028457598178,70.2788844621514,87.25099601593625,5.0,16.972111553784856,4.849174729652816,14,0.36637879983353383,0.08677716884318734,0.18143857401164176,0.186334990400977,4.196052187845668
vertical,1,6,1.0,2,positive,down,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,87.25099601593625,104.10358565737052,95.43824701195219,87.25099601593625,104.10358565737052,5.0,16.852589641434264,4.815025611838361,14,0.3822142716414362,0.08939339488573453,0.1817429145713071,0.20047135707012886,4.1923458083829725
vertical,1,7,1.0,2,positive,up,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,104.8207171314741,121.43426294820716,112.90552077404666,104.8207171314741,121.43426294820716,5.0,16.613545816733065,4.7467273762094475,14,0.3730576308435096,0.08726731633248944,0.1769825478210033,0.19607508302250642,4.192234836475234
vertical,1,8,1.0,2,positive,down,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,122.15139442231074,138.64541832669323,130.18497438816163,122.15139442231074,138.64541832669323,5.0,16.494023904382487,4.712578258394997,14,0.3945659691326162,0.09245841931581608,0.18915501699743564,0.2047424964046769,4.197065885070942
vertical,1,9,1.0,2,positive,up,0.9561752988047808,0.9561752988047808,0.9561752988047806,0.9561752988047808,0.9561752988047808,139.24302788844622,155.85657370517927,147.29368241320435,139.24302788844622,155.85657370517927,5.0,16.61354581673305,4.746727376209443,14,0.3106936906397779,0.07357301656587342,0.15148534597898156,0.15920834466079636,4.186778071656255
vertical,2,1,21.0,2,negative,up,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,160.0398406374502,142.94820717131472,151.75014228799088,142.94820717131472,160.0398406374502,5.0,17.091633466135477,4.883323847467279,14,0.2963663597108641,0.06877814245048353,0.14028144325841285,0.1550672517763767,4.2142937801046605
vertical,2,2,21.0,2,negative,down,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,142.94820717131472,125.85657370517927,134.66704610130904,125.85657370517927,142.94820717131472,5.0,17.09163346613545,4.883323847467271,14,0.3987271160696294,0.09342575925588414,0.19067456180494025,0.20894990388022272,4.193789203042998
vertical,2,3,21.0,2,negative,up,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,125.85657370517927,109.4820717131474,117.89129197495731,109.4820717131474,125.85657370517927,5.0,16.374501992031867,4.678429140580533,14,0.4001803412219418,0.09359624146260115,0.19051526344405278,0.20966507777788923,4.199184481612958
vertical,2,4,21.0,2,negative,down,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,108.76494023904382,92.27091633466135,100.70574843483209,92.27091633466135,108.76494023904382,5.0,16.494023904382473,4.712578258394992,14,0.30039183436911177,0.07090903775576288,0.1473175739624153,0.15298820899472965,4.196669139491972
vertical,2,5,21.0,2,negative,up,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,91.43426294820716,75.17928286852589,83.50313033579967,75.17928286852589,91.43426294820716,5.0,16.254980079681275,4.644280022766078,14,0.29817578163844327,0.0706403433943365,0.14636220196092609,0.1518396405278888,4.193159601541509
vertical,2,6,21.0,2,negative,down,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,74.4621513944223,57.60956175298804,66.34319863403529,57.60956175298804,74.4621513944223,5.0,16.852589641434264,4.815025611838361,14,0.35589296038071305,0.08347825447765095,0.1723338640515385,0.18696821035676092,4.194231403649625
vertical,2,7,21.0,2,negative,up,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,56.89243027888446,39.800796812749,48.60273192942515,39.800796812749,56.89243027888446,5.0,17.091633466135463,4.883323847467275,14,0.4029616878381752,0.09299060646220053,0.18691376390024717,0.21476289750531463,4.206694978352294
vertical,2,8,21.0,2,negative,down,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,39.800796812749,22.709163346613543,31.511098463289695,22.709163346613543,39.800796812749,5.0,17.091633466135455,4.883323847467273,14,0.3948302852897114,0.09345586205019896,0.19455104231347853,0.20003185075476382,4.19989253207371
vertical,2,9,21.0,2,negative,up,21.03585657370518,21.03585657370518,21.035856573705182,21.03585657370518,21.03585657370518,22.709163346613543,5.737051792828685,14.453614114968696,5.737051792828685,22.709163346613543,5.0,16.97211155378486,4.849174729652817,14,0.3481333330730596,0.08109031696488303,0.16387966899847595,0.18406612981765824,4.190345639318522
vertical,3,1,41.0,2,positive,up,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,0.9561752988047808,17.689243027888445,9.049516220830961,0.9561752988047808,17.689243027888445,5.0,16.733067729083665,4.780876494023905,14,0.23558670479598753,0.055590171861050086,0.1147796061075197,0.12296610046083378,4.190540311514385
vertical,3,2,41.0,2,positive,down,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,18.286852589641434,34.66135458167331,26.286283437677863,18.286852589641434,34.66135458167331,5.0,16.374501992031874,4.678429140580535,14,0.3526730400522581,0.08329651051414452,0.17179192197359727,0.1808811180786607,4.186762784495107
vertical,3,3,41.0,2,positive,up,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,35.37848605577689,52.111553784860554,43.437677859988604,35.37848605577689,52.111553784860554,5.0,16.733067729083665,4.780876494023905,14,0.3848015101439325,0.09076355986010917,0.1856674186120124,0.19808981221778765,4.181479462706507
vertical,3,4,41.0,2,positive,down,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,52.948207171314735,69.92031872509959,61.169607285145126,52.948207171314735,69.92031872509959,5.0,16.972111553784856,4.849174729652816,14,0.3091182295741133,0.07275275243703319,0.14837111044832085,0.16074711912579254,4.183060998947321
vertical,3,5,41.0,2,positive,up,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,69.92031872509959,87.01195219123505,78.2100170745589,69.92031872509959,87.01195219123505,5.0,17.091633466135463,4.883323847467275,14,0.23703116550437697,0.05568384620219993,0.11377211159037992,0.12325905391399705,4.185456543881327
vertical,3,6,41.0,2,positive,down,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,87.01195219123505,103.50597609561753,95.09675583380762,87.01195219123505,103.50597609561753,5.0,16.494023904382473,4.712578258394992,14,0.22015075232840653,0.0519046915790386,0.10677189606091564,0.11422136029657981,4.1805445781552235
vertical,3,7,41.0,2,positive,up,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,104.22310756972111,120.47808764940238,112.14570290267501,104.22310756972111,120.47808764940238,5.0,16.254980079681275,4.644280022766078,14,0.28515146767494803,0.06683848626389469,0.134935268438391,0.14985241515089398,4.1814914775992635
vertical,3,8,41.0,2,positive,down,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,40.99601593625498,121.19521912350596,137.56972111553785,129.17757541263515,121.19521912350596,137.56972111553785,5.0,16.37450199203188,4.678429140580538,14,0.36704221239408585,0.08696024105417402,0.18094683499352393,0.19127918427869628,4.181715622329554
vertical,3,9,41.0,2,positive,up,40.99601593625498,40.99601593625498,40.99601593625497,40.99601593625498,40.99601593625498,138.28685258964143,155.73705179282868,146.82868525896416,138.28685258964143,155.73705179282868,5.0,17.450199203187253,4.985771200910643,15,0.36698392097232135,0.08697784513482701,0.17876192132419078,0.1882219996481307,4.181375275760909
vertical,4,1,61.0,2,negative,up,60.95617529880478,60.95617529880478,60.95617529880476,60.95617529880478,60.95617529880478,160.0398406374502,143.06772908366534,151.8184405236198,143.06772908366534,160.0398406374502,5.0,16.972111553784856,4.849174729652816,14,0.34411463448503754,0.08092107865462683,0.16642683752180398,0.1805324604760543,4.191225535591437
