parametr,wartosc
algorytm,hooke_jeeves
piezo_min_v,80.000
piezo_max_v,150.000
prog_amplitudy_v,0.400000
pozycja_startowa_p1_deg,80.000
pozycja_startowa_p2_deg,80.000
prog_osiagniety,True
czas_calkowity_s,78.235
liczba_pomiarow_fizycznych,6
liczba_unikalnych_punktow_mpc,5
stopien_przeszukania_pct,6.173
maksymalna_amplituda_v,0.412392
score_dla_maksimum,0.095479
p1_dla_maksimum_deg,120.000
p2_dla_maksimum_deg,39.920
